VLD,Transport operationnel,16.235,Germany,PIE,Oui,2,TAXPAY,0
VT AGGLOMRATION DE BAYONNE,Transport operationnel,22.453,France,PIE,Oui,4,TAXPAY,0
VT ALPES MARITIMES,Transport operationnel,11.659,France,PIE,Oui,4,TAXPAY,0
VT FOUGERES,Transport operationnel,1.224,France,PIE,Oui,4,TAXPAY,0
VT IDF CSP CONTRLE,Transport operationnel,2.794,France,PIE,Oui,4,TAXPAY,0
VT MIDI PYRNES,Transport operationnel,19.412,France,PIE,Oui,4,TAXPAY,0
VT PICARDIE,Transport operationnel,10.333,France,PIE,Oui,4,TAXPAY,0
VT SERVICE REUNION,Transport operationnel,5.942,France,PIE,Oui,4,TAXPAY,0
VT SHUTTLE FRANCE,Transport operationnel,3.045,France,PIE,Oui,4,TAXPAY,0
VT VOSGES,Transport operationnel,3.929,France,PIE,Oui,4,TAXPAY,0
VTLV,Transport operationnel,31.271,France,PIE,Oui,2,TAXPAY,0
Veolia TransportAuckland PL,Transport operationnel,42.1204601637178,United Kingdom,PIE,Oui,4,TAXPAY,0
West-Bus GmbH,Transport operationnel,13.96941,Germany,PIE,Oui,4,TAXPAY,0
WRTTEMBERGISCHE EISENBAHN-GESELLSCHAFT,Transport operationnel,14.545,Germany,PIE,Oui,4,TAXPAY,0
